"Crop","Season","Area-2000-01","Area-2001-02","Area-2002-03","Area-2003-04","Area-2004-05","Area-2005-06","Area-2006-07","Area-2007-08","Area-2008-09","Area-2009-10","Area-2010-11","Area-2011-12","Area-2012-13","Area-2013-14","Area-2014-15","Area-2015-16","Area-2016-17","Area-2017-18","Area-2018-19","Area-2019-20","Area-2020-21","Area-2021-22","Area-2022-23","Area-2023-24","Area-2024-25","Area-2025-26"
"Urad","Kharif","22.04","24.06","26.51","27.89","24.84","23.22","22.85","23.57","20.17","22.49","25.24","23.75","24.63","23.48","24.86","27.24","34.78","43.50","47.26","37.02","32.13","36.25","30.98","26.81","21.81","22.07"
"Urad","Rabi","8.07","8.97","8.99","6.35","6.85","6.47","7.82","8.32","6.53","7.27","7.43","8.59","6.90","7.16","7.61","9.00","10.00","9.29","8.77","8.32","9.30","10.09","6.41","5.89","6.18","5.24"
"Urad","Summer","","","","","","","","","","","","","","","","","","","","","","","2.63","2.66","3.58",""
"Urad","Total","30.11","33.03","35.50","34.24","31.69","29.69","30.67","31.88","26.70","29.77","32.67","32.34","31.53","30.64","32.48","36.24","44.78","52.79","56.02","45.33","41.43","46.33","40.02","35.36","31.57","27.31"
"Moong","Kharif","23.84","24.37","23.82","27.43","26.55","23.95","24.61","29.63","21.53","23.52","27.42","25.16","19.75","23.38","20.25","27.56","33.70","32.59","38.32","35.21","38.22","38.43","34.86","31.74","34.14","37.69"
"Moong","Rabi","5.23","5.51","5.34","7.00","5.84","6.44","7.18","6.78","6.07","6.19","7.53","7.67","7.44","10.45","9.94","10.71","9.57","9.83","9.23","10.59","13.08","17.08","1.50","1.38","1.36","1.06"
"Moong","Summer","","","","","","","","","","","","","","","","","","","","","","","19.10","18.74","23.49",""
"Moong","Total","29.07","29.88","29.16","34.43","32.39","30.39","31.80","36.41","27.60","29.71","34.95","32.82","27.19","33.83","30.19","38.28","43.27","42.42","47.55","45.81","51.30","55.51","55.46","51.87","58.99","38.75"
"Lentil","Rabi","14.78","14.66","13.77","13.96","14.73","15.06","14.70","13.06","13.76","14.79","15.97","15.62","14.23","13.41","14.69","12.76","14.61","15.49","13.63","13.03","14.68","14.12","16.37","17.43","16.99","17.41"
"Lentil","Total","14.78","14.66","13.77","13.96","14.73","15.06","14.70","13.06","13.76","14.79","15.97","15.62","14.23","13.41","14.69","12.76","14.61","15.49","13.63","13.03","14.68","14.12","16.37","17.43","16.99","17.41"
"Other Pulses","Kharif","24.37","25.51","15.58","26.36","26.59","23.82","23.68","24.44","22.62","24.96","26.87","22.92","16.24","17.45","16.35","18.70","21.78","18.85","17.22","17.80","16.71","17.51","14.42","16.40","16.75","15.43"
"Other Pulses","Rabi","16.97","19.56","18.29","19.95","19.89","19.89","20.52","17.84","17.57","17.05","18.04","17.86","19.24","18.55","20.79","19.51","20.39","18.58","16.17","15.60","16.51","17.44","17.34","16.82","18.33","20.57"
"Other Pulses","Total","41.34","45.07","33.88","46.31","46.48","43.70","44.20","42.28","40.19","42.01","44.90","40.78","35.47","36.00","37.14","38.22","42.17","37.44","33.39","33.40","33.22","34.95","31.77","33.22","35.08","36.00"
