"Crop","Season","Yield-2000-01","Yield-2001-02","Yield-2002-03","Yield-2003-04","Yield-2004-05","Yield-2005-06","Yield-2006-07","Yield-2007-08","Yield-2008-09","Yield-2009-10","Yield-2010-11","Yield-2011-12","Yield-2012-13","Yield-2013-14","Yield-2014-15","Yield-2015-16","Yield-2016-17","Yield-2017-18","Yield-2018-19","Yield-2019-20","Yield-2020-21","Yield-2021-22","Yield-2022-23","Yield-2023-24","Yield-2024-25","Yield-2025-26"
"Urad","Kharif","250.00","362.00","280.00","367.00","361.00","353.00","347.00","351.00","385.00","380.00","390.00","270.00","600.00","374.00","497.00","553.00","660.00","726.00","465.00","263.00","310.00","507.00","620.00","630.00","563.00","565.00"
"Urad","Rabi","383.00","324.00","379.00","400.00","412.00","397.00","344.00","324.00","338.00","377.00","394.00","300.00","557.00","446.00","600.00","600.00","1314.00","1400.00","1336.00","1248.00","1297.00","1297.00","","","",""
"Urad","Summer","","","","","","","","","","","","","","","","","","","","","","","1297.00","1312.00","1310.00",""
"Urad","Total","252.00","361.00","281.00","368.00","362.00","354.00","347.00","351.00","384.00","380.00","390.00","270.00","600.00","376.00","499.00","553.00","679.00","739.00","480.00","281.00","341.00","547.00","649.00","678.00","722.00","565.00"
"Moong","Kharif","","","","","","","","","","","","","472.00","450.00","452.00","404.00","587.00","601.00","402.00","312.00","342.00","363.00","487.00","562.00","469.00","472.00"
"Moong","Rabi","","","","","","","","","","","","","342.00","466.00","513.00","521.00","625.00","625.00","1235.00","810.00","1297.00","1297.00","","","",""
"Moong","Summer","","","","","","","","","","","","","","","","","","","","","","","1153.00","1211.00","1211.00",""
"Moong","Total","","","","","","","","","","","","","466.00","462.00","477.00","445.00","607.00","612.00","963.00","741.00","1179.00","1209.00","1135.00","1196.00","1189.00","472.00"
"Lentil","Rabi","422.00","481.00","388.00","502.00","498.00","510.00","497.00","440.00","505.00","525.00","301.00","371.00","584.00","638.00","678.00","719.00","846.00","1139.00","783.00","777.00","1135.00","899.00","971.00","1152.00","956.00","962.00"
"Lentil","Total","422.00","481.00","388.00","502.00","498.00","510.00","497.00","440.00","505.00","525.00","301.00","371.00","584.00","638.00","678.00","719.00","846.00","1139.00","783.00","777.00","1135.00","899.00","971.00","1152.00","956.00","962.00"
"Other Pulses","Kharif","234.00","315.00","267.00","344.00","311.00","315.00","324.00","337.00","343.00","332.00","353.00","251.00","326.00","524.00","400.00","400.00","765.00","438.00","500.00","0.00","133.00","267.00","","","",""
"Other Pulses","Rabi","456.00","523.00","456.00","533.00","510.00","510.00","489.00","433.00","533.00","534.00","325.00","404.00","710.00","961.00","1021.00","548.00","760.00","1013.00","744.00","787.00","1047.00","824.00","1055.00","985.00","854.00","860.00"
"Other Pulses","Total","375.00","452.00","393.00","471.00","447.00","454.00","438.00","402.00","481.00","484.00","332.00","365.00","687.00","941.00","980.00","543.00","760.00","990.00","739.00","787.00","1026.00","819.00","1055.00","985.00","854.00","860.00"
