"Crop","Season","Yield-2000-01","Yield-2001-02","Yield-2002-03","Yield-2003-04","Yield-2004-05","Yield-2005-06","Yield-2006-07","Yield-2007-08","Yield-2008-09","Yield-2009-10","Yield-2010-11","Yield-2011-12","Yield-2012-13","Yield-2013-14","Yield-2014-15","Yield-2015-16","Yield-2016-17","Yield-2017-18","Yield-2018-19","Yield-2019-20","Yield-2020-21","Yield-2021-22","Yield-2022-23","Yield-2023-24","Yield-2024-25","Yield-2025-26"
"Tur","Kharif","618.00","679.00","651.00","670.00","667.00","765.00","650.00","826.00","671.00","711.00","655.00","662.00","776.00","813.00","729.00","646.00","913.00","967.00","729.00","859.00","914.00","861.00","814.00","827.00","836.00","780.00"
"Tur","Total","618.00","679.00","651.00","670.00","667.00","765.00","650.00","826.00","671.00","711.00","655.00","662.00","776.00","813.00","729.00","646.00","913.00","967.00","729.00","859.00","914.00","861.00","814.00","827.00","836.00","780.00"
"Gram","Rabi","744.00","853.00","717.00","811.00","815.00","808.00","845.00","762.00","895.00","915.00","895.00","928.00","1036.00","960.00","889.00","840.00","974.00","1078.00","1041.00","1142.00","1192.00","1261.00","1172.00","1151.00","1218.00","1238.00"
"Gram","Total","744.00","853.00","717.00","811.00","815.00","808.00","845.00","762.00","895.00","915.00","895.00","928.00","1036.00","960.00","889.00","840.00","974.00","1078.00","1041.00","1142.00","1192.00","1261.00","1172.00","1151.00","1218.00","1238.00"
"Urad","Kharif","350.00","407.00","379.00","430.00","382.00","386.00","412.00","475.00","419.00","367.00","561.00","527.00","610.00","490.00","516.00","459.00","626.00","632.00","500.00","359.00","469.00","515.00","571.00","598.00","615.00","546.00"
"Urad","Rabi","650.00","579.00","522.00","426.00","552.00","540.00","640.00","405.00","506.00","587.00","489.00","621.00","679.00","768.00","892.00","773.00","656.00","798.00","796.00","904.00","778.00","903.00","988.00","828.00","894.00","970.00"
"Urad","Summer","","","","","","","","","","","","","","","","","","","","","","","875.00","856.00","974.00",""
"Urad","Total","431.00","454.00","415.00","430.00","419.00","419.00","470.00","457.00","440.00","421.00","545.00","552.00","625.00","555.00","604.00","537.00","632.00","662.00","546.00","459.00","538.00","599.00","657.00","656.00","710.00","628.00"
"Moong","Kharif","319.00","343.00","257.00","508.00","294.00","275.00","328.00","413.00","348.00","172.00","546.00","483.00","398.00","410.00","428.00","363.00","488.00","440.00","466.00","519.00","522.00","385.00","493.00","364.00","520.00","526.00"
"Moong","Rabi","454.00","441.00","429.00","393.00","423.00","427.00","436.00","408.00","431.00","422.00","434.00","512.00","539.00","620.00","640.00","554.00","546.00","600.00","727.00","645.00","833.00","987.00","730.00","733.00","738.00","825.00"
"Moong","Summer","","","","","","","","","","","","","","","","","","","","","","","968.00","985.00","1009.00",""
"Moong","Total","344.00","361.00","289.00","484.00","317.00","307.00","352.00","412.00","366.00","224.00","522.00","490.00","436.00","475.00","498.00","416.00","500.00","477.00","516.00","548.00","601.00","570.00","663.00","598.00","719.00","534.00"
"Lentil","Rabi","619.00","664.00","634.00","743.00","675.00","628.00","621.00","622.00","693.00","697.00","591.00","678.00","797.00","759.00","705.00","765.00","838.00","1047.00","901.00","847.00","1017.00","899.00","952.00","1028.00","973.00","996.00"
"Lentil","Total","619.00","664.00","634.00","743.00","675.00","628.00","621.00","622.00","693.00","697.00","591.00","678.00","797.00","759.00","705.00","765.00","838.00","1047.00","901.00","847.00","1017.00","899.00","952.00","1028.00","973.00","996.00"
"Other Pulses","Kharif","274.00","299.00","223.00","461.00","242.00","240.00","309.00","403.00","366.00","200.00","501.00","408.00","373.00","410.00","475.00","385.00","408.00","441.00","365.00","491.00","478.00","382.00","571.00","487.00","593.00","637.00"
"Other Pulses","Rabi","645.00","675.00","637.00","721.00","665.00","678.00","654.00","664.00","726.00","740.00","702.00","753.00","827.00","818.00","836.00","754.00","867.00","957.00","897.00","954.00","986.00","951.00","1032.00","1057.00","988.00","1031.00"
"Other Pulses","Total","426.00","462.00","447.00","573.00","423.00","440.00","469.00","513.00","523.00","419.00","582.00","559.00","619.00","620.00","677.00","573.00","630.00","697.00","623.00","707.00","731.00","666.00","823.00","776.00","799.00","862.00"
